Region,Code,Jahr,Population
Germany,DEU,1873,40725727
Germany,DEU,1874,41159810
Germany,DEU,1875,41598517
Germany,DEU,1876,42041897
Germany,DEU,1877,42489999
Germany,DEU,1878,42942875
Germany,DEU,1879,43388996
Germany,DEU,1880,43828181
Germany,DEU,1881,44260243
Germany,DEU,1882,44684993
Germany,DEU,1883,45102238
Germany,DEU,1884,45523375
Germany,DEU,1885,45948441
Germany,DEU,1886,46377473
Germany,DEU,1887,46810508
Germany,DEU,1888,47247582
Germany,DEU,1889,47730525
Germany,DEU,1890,48260349
Germany,DEU,1891,48838083
Germany,DEU,1892,49464772
Germany,DEU,1893,50141481
Germany,DEU,1894,50827444
Germany,DEU,1895,51522787
Germany,DEU,1896,52227640
Germany,DEU,1897,52942131
Germany,DEU,1898,53666393
Germany,DEU,1899,54413956
Germany,DEU,1900,55185341
Germany,DEU,1901,55981081
Germany,DEU,1902,56801719
Germany,DEU,1903,57647806
Germany,DEU,1904,58506492
Germany,DEU,1905,59377964
Germany,DEU,1906,60262412
Germany,DEU,1907,61160030
Germany,DEU,1908,62071014
Germany,DEU,1909,62767668
Germany,DEU,1910,63247408
Germany,DEU,1911,63507611
Germany,DEU,1912,63545612
Germany,DEU,1913,63358703
Germany,DEU,1914,63172340
Germany,DEU,1915,62986521
Germany,DEU,1916,62801243
Germany,DEU,1917,62616506
Germany,DEU,1918,62415473
Germany,DEU,1919,62337715
Germany,DEU,1920,62383655
Germany,DEU,1921,62553720
Germany,DEU,1922,62848341
Germany,DEU,1923,63267954
Germany,DEU,1924,63690369
Germany,DEU,1925,64115604
Germany,DEU,1926,64543678
Germany,DEU,1927,64974611
Germany,DEU,1928,65408420
Germany,DEU,1929,65850348
Germany,DEU,1930,66300486
Germany,DEU,1931,66758925
Germany,DEU,1932,67225759
Germany,DEU,1933,67701081
Germany,DEU,1934,68179764
Germany,DEU,1935,68661832
Germany,DEU,1936,69147308
Germany,DEU,1937,69636216
Germany,DEU,1938,70128582
Germany,DEU,1939,70493827
Germany,DEU,1940,70731329
Germany,DEU,1941,70840459
Germany,DEU,1942,70820585
Germany,DEU,1943,70671068
Germany,DEU,1944,70521868
Germany,DEU,1945,70372982
Germany,DEU,1946,70224410
Germany,DEU,1947,70076152
Germany,DEU,1948,69928207
Germany,DEU,1949,69891436
Germany,DEU,1950,69966252
Germany,DEU,1951,70300011
Germany,DEU,1952,70620275
Germany,DEU,1953,70929839
Germany,DEU,1954,71233393
Germany,DEU,1955,71537454
Germany,DEU,1956,71850645
Germany,DEU,1957,72183453
Germany,DEU,1958,72547581
Germany,DEU,1959,72954885
Germany,DEU,1960,73414229
Germany,DEU,1961,73928077
Germany,DEU,1962,74489450
Germany,DEU,1963,75080749
Germany,DEU,1964,75677305
Germany,DEU,1965,76258034
Germany,DEU,1966,76819570
Germany,DEU,1967,77357251
Germany,DEU,1968,77847179
Germany,DEU,1969,78260756
Germany,DEU,1970,78578381
Germany,DEU,1971,78789931
Germany,DEU,1972,78901826
Germany,DEU,1973,78932455
Germany,DEU,1974,78909808
Germany,DEU,1975,78856031
Germany,DEU,1976,78781740
Germany,DEU,1977,78687323
Germany,DEU,1978,78573588
Germany,DEU,1979,78438171
Germany,DEU,1980,78283101
Germany,DEU,1981,78107860
Germany,DEU,1982,77926016
Germany,DEU,1983,77770210
Germany,DEU,1984,77682293
Germany,DEU,1985,77691591
Germany,DEU,1986,77806136
Germany,DEU,1987,78015742
Germany,DEU,1988,78307525
Germany,DEU,1989,78660301
Germany,DEU,1990,79053984
Germany,DEU,1991,79490831
Germany,DEU,1992,79963166
Germany,DEU,1993,80428557
Germany,DEU,1994,80832928
Germany,DEU,1995,81138653
Germany,DEU,1996,81323666
Germany,DEU,1997,81399250
Germany,DEU,1998,81402671
Germany,DEU,1999,81389935
Germany,DEU,2000,81400883
Germany,DEU,2001,81453894
Germany,DEU,2002,81535124
Germany,DEU,2003,81614371
Germany,DEU,2004,81646474
Germany,DEU,2005,81602739
Germany,DEU,2006,81472235
Germany,DEU,2007,81277836
Germany,DEU,2008,81065751
Germany,DEU,2009,80899961
Germany,DEU,2010,80827001
Germany,DEU,2011,80855629
Germany,DEU,2012,80972629
Germany,DEU,2013,81174373
Germany,DEU,2014,81450370
Germany,DEU,2015,81787411
Germany,DEU,2016,82193770
Germany,DEU,2017,82658409
Germany,DEU,2018,83124413
Germany,DEU,2019,83517046
Germany,DEU,2020,83783945
Germany,DEU,2021,83900471
